Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
419280542,0,1,0,1
419280583,0,1,0,0
419280792,0,1,0,1
419280833,0,1,0,0
419281042,0,1,0,1
419281083,0,1,0,0
419281292,0,1,0,1
419281333,0,1,0,0
419281542,0,1,0,1
419281583,0,1,0,0
419281792,0,1,0,1
419281833,0,1,0,0
419282042,0,1,0,1
419282083,0,1,0,0
419282292,0,1,0,1
419282333,0,1,0,0
419282542,0,1,0,1
419282583,0,1,0,0
419282792,0,1,0,1
419282833,0,1,0,0
419283042,0,1,0,1
419283083,0,1,0,0
419283292,0,1,0,1
419283333,0,1,0,0
419283542,0,1,0,1
419283583,0,1,0,0
419283792,0,1,0,1
419283833,0,1,0,0
419284042,0,1,0,1
419284083,0,1,0,0
419284292,0,1,0,1
419284333,0,1,0,0
419284542,0,1,0,1
419284583,0,1,0,0
419284792,0,1,0,1
419284833,0,1,0,0
419285042,0,1,0,1
419285083,0,1,0,0
419285292,0,1,0,1
419285333,0,1,0,0
419285542,0,1,0,1
419285583,0,1,0,0
419285792,0,1,0,1
419285833,0,1,0,0
419286042,0,1,0,1
419286083,0,1,0,0
419286292,0,1,0,1
419286333,0,1,0,0
419286542,0,1,0,1
419286583,0,1,0,0
419286792,0,1,0,1
419286833,0,1,0,0
419287042,0,1,0,1
419287083,0,1,0,0
419287292,0,1,0,1
419287333,0,1,0,0
419287542,0,1,0,1
419287583,0,1,0,0
419287792,0,1,0,1
419287833,0,1,0,0
419288042,0,1,0,1
419288083,0,1,0,0
419288292,0,1,0,1
419288333,0,1,0,0
419288542,0,1,0,1
419288583,0,1,0,0
419288792,0,1,0,1
419288833,0,1,0,0
419289042,0,1,0,1
419289083,0,1,0,0
419289292,0,1,0,1
419289333,0,1,0,0
419289542,0,1,0,1
419289583,0,1,0,0
419289792,0,1,0,1
419289833,0,1,0,0
419290042,0,1,0,1
419290083,0,1,0,0
419290292,0,1,0,1
419290333,0,1,0,0
419290542,0,1,0,1
419290583,0,1,0,0
419290792,0,1,0,1
419290833,0,1,0,0
419291042,0,1,0,1
419291083,0,1,0,0
419291292,0,1,0,1
419291333,0,1,0,0
419291542,0,1,0,1
419291583,0,1,0,0
419291792,0,1,0,1
419291833,0,1,0,0
419292042,0,1,0,1
419292083,0,1,0,0
419292292,0,1,0,1
419292333,0,1,0,0
419292542,0,1,0,1
419292583,0,1,0,0
419292792,0,1,0,1
419292833,0,1,0,0
419293000,0,1,0,1
419293083,0,1,0,0
419293250,0,1,0,1
419293333,0,1,0,0
419293500,0,1,0,1
419293583,0,1,0,0
419293750,0,1,0,1
419293833,0,1,0,0
419294000,0,1,0,1
419294083,0,1,0,0
419294250,0,1,0,1
419294333,0,1,0,0
419294500,0,1,0,1
419294583,0,1,0,0
419294750,0,1,0,1
419294833,0,1,0,0
419295000,0,1,0,1
419295083,0,1,0,0
419295250,0,1,0,1
419295333,0,1,0,0
419295500,0,1,0,1
419295583,0,1,0,0
419295750,0,1,0,1
419295833,0,1,0,0
419296000,0,1,0,1
419296083,0,1,0,0
419296250,0,1,0,1
419296333,0,1,0,0
419296500,0,1,0,1
419296583,0,1,0,0
419296750,0,1,0,1
419296833,0,1,0,0
419297000,0,1,0,1
419297083,0,1,0,0
419297250,0,1,0,1
419297333,0,1,0,0
419297500,0,1,0,1
419297583,0,1,0,0
419297750,0,1,0,1
419297833,0,1,0,0
419298000,0,1,0,1
419298083,0,1,0,0
419298250,0,1,0,1
419298333,0,1,0,0
419298500,0,1,0,1
419298583,0,1,0,0
419298750,0,1,0,1
419298833,0,1,0,0
419299000,0,1,0,1
419299083,0,1,0,0
419299250,0,1,0,1
419299333,0,1,0,0
419299500,0,1,0,1
419299583,0,1,0,0
419299750,0,1,0,1
419299833,0,1,0,0
419300000,0,1,0,1
419300083,0,1,0,0
419300250,0,1,0,1
419300333,0,1,0,0
419300500,0,1,0,1
419300583,0,1,0,0
419300750,0,1,0,1
419300833,0,1,0,0
419301000,0,1,0,1
419301083,0,1,0,0
419301250,0,1,0,1
419301333,0,1,0,0
419301500,0,1,0,1
419301583,0,1,0,0
419301750,0,1,0,1
419301833,0,1,0,0
419302000,0,1,0,1
419302083,0,1,0,0
419302250,0,1,0,1
419302333,0,1,0,0
419302500,0,1,0,1
419302583,0,1,0,0
419302750,0,1,0,1
419302833,0,1,0,0
419303000,0,1,0,1
419303083,0,1,0,0
419303250,0,1,0,1
419303333,0,1,0,0
419303500,0,1,0,1
419303583,0,1,0,0
419303750,0,1,0,1
419303833,0,1,0,0
419304000,0,1,0,1
419304083,0,1,0,0
419304250,0,1,0,1
419304333,0,1,0,0
419304500,0,1,0,1
419304583,0,1,0,0
419304750,0,1,0,1
419304833,0,1,0,0
419305000,0,1,0,1
419305083,0,1,0,0
419305250,0,1,0,1
419305333,0,1,0,0
419305500,0,1,0,1
419305583,0,1,0,0
419305750,0,1,0,1
419305833,0,1,0,0
419306000,0,1,0,1
419306083,0,1,0,0
419306250,0,1,0,1
419306333,0,1,0,0
419306500,0,1,0,1
419306583,0,1,0,0
419306750,0,1,0,1
419306833,0,1,0,0
419307000,0,1,0,1
419307083,0,1,0,0
419307250,0,1,0,1
419307333,0,1,0,0
419307500,0,1,0,1
