Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
250571875,0,1,0,1
250571958,0,1,0,0
250572125,0,1,0,1
250572208,0,1,0,0
250572375,0,1,0,1
250572458,0,1,0,0
250572625,0,1,0,1
250572708,0,1,0,0
250572875,0,1,0,1
250572958,0,1,0,0
250573125,0,1,0,1
250573208,0,1,0,0
250573250,0,1,0,1
250573333,0,1,0,0
250574500,0,1,0,1
250574583,0,1,0,0
250574750,0,1,0,1
250574833,0,1,0,0
250574875,0,1,0,1
250575000,0,1,0,0
250575083,0,1,0,1
250575125,0,1,0,0
250582500,0,1,0,1
250582583,0,1,0,0
250582750,0,1,0,1
250582833,0,1,0,0
250582875,0,1,0,1
250583000,0,1,0,0
250583083,0,1,0,1
250583125,0,1,0,0
250591583,1,1,0,0
250598583,0,1,0,0
250645583,1,1,0,0
250652583,0,1,0,0
250660375,0,1,0,1
250660417,0,1,0,0
250660625,0,1,0,1
250660667,0,1,0,0
250661000,0,1,0,1
250661042,0,1,0,0
250668500,0,1,0,1
250668542,0,1,0,0
250668750,0,1,0,1
250668792,0,1,0,0
250668875,0,1,0,1
250669000,0,1,0,0
250669042,0,1,0,1
250669125,0,1,0,0
250670125,0,1,0,1
250670167,0,1,0,0
250670375,0,1,0,1
250670417,0,1,0,0
250670625,0,1,0,1
250670667,0,1,0,0
250670875,0,1,0,1
250670917,0,1,0,0
250671125,0,1,0,1
250671167,0,1,0,0
250671375,0,1,0,1
250671417,0,1,0,0
250671625,0,1,0,1
250671667,0,1,0,0
250671875,0,1,0,1
250671917,0,1,0,0
250672125,0,1,0,1
250672167,0,1,0,0
250672375,0,1,0,1
250672417,0,1,0,0
250672625,0,1,0,1
250672667,0,1,0,0
250672875,0,1,0,1
250672917,0,1,0,0
250673125,0,1,0,1
250673167,0,1,0,0
250673375,0,1,0,1
250673417,0,1,0,0
250673625,0,1,0,1
250673667,0,1,0,0
250673875,0,1,0,1
250673917,0,1,0,0
250674125,0,1,0,1
250674167,0,1,0,0
250674375,0,1,0,1
250674417,0,1,0,0
250674625,0,1,0,1
250674667,0,1,0,0
250674875,0,1,0,1
250674917,0,1,0,0
250675125,0,1,0,1
250675167,0,1,0,0
250675375,0,1,0,1
250675417,0,1,0,0
250675500,0,1,0,1
250675542,0,1,0,0
250675875,0,1,0,1
250675917,0,1,0,0
250676125,0,1,0,1
250676167,0,1,0,0
250676375,0,1,0,1
250676417,0,1,0,0
250676625,0,1,0,1
250676667,0,1,0,0
250676875,0,1,0,1
250676917,0,1,0,0
250677125,0,1,0,1
250677167,0,1,0,0
250677375,0,1,0,1
250677417,0,1,0,0
250677625,0,1,0,1
250677667,0,1,0,0
250677875,0,1,0,1
250677917,0,1,0,0
250678125,0,1,0,1
250678167,0,1,0,0
250678375,0,1,0,1
250678417,0,1,0,0
250678625,0,1,0,1
250678667,0,1,0,0
250678875,0,1,0,1
250678917,0,1,0,0
250679125,0,1,0,1
250679167,0,1,0,0
250679375,0,1,0,1
250679417,0,1,0,0
250679625,0,1,0,1
250679667,0,1,0,0
250679875,0,1,0,1
250679917,0,1,0,0
250680125,0,1,0,1
250680167,0,1,0,0
250680375,0,1,0,1
250680417,0,1,0,0
250680625,0,1,0,1
250680667,0,1,0,0
250680875,0,1,0,1
250680917,0,1,0,0
250681125,0,1,0,1
250681167,0,1,0,0
250681250,0,1,0,1
250681292,0,1,0,0
250682500,0,1,0,1
250682542,0,1,0,0
250682750,0,1,0,1
250682792,0,1,0,0
250682875,0,1,0,1
250683000,0,1,0,0
250683042,0,1,0,1
250683125,0,1,0,0
250690500,0,1,0,1
250690542,0,1,0,0
250690750,0,1,0,1
250690792,0,1,0,0
250690875,0,1,0,1
250691000,0,1,0,0
250691042,0,1,0,1
250691125,0,1,0,0
250699542,1,1,0,0
250706583,0,1,0,0
250753542,1,1,0,0
250760583,0,1,0,0
250768333,0,1,0,1
250768417,0,1,0,0
250768583,0,1,0,1
250768667,0,1,0,0
250768958,0,1,0,1
250769042,0,1,0,0
250776458,0,1,0,1
250776542,0,1,0,0
250776708,0,1,0,1
250776792,0,1,0,0
250776833,0,1,0,1
250777000,0,1,0,0
250777042,0,1,0,1
250777125,0,1,0,0
250778083,0,1,0,1
250778167,0,1,0,0
250778333,0,1,0,1
250778417,0,1,0,0
250783083,0,1,0,1
250783167,0,1,0,0
250783333,0,1,0,1
250783417,0,1,0,0
250783458,0,1,0,1
250783542,0,1,0,0
250783833,0,1,0,1
250783917,0,1,0,0
250784083,0,1,0,1
250784167,0,1,0,0
250788833,0,1,0,1
250788917,0,1,0,0
250789083,0,1,0,1
250789167,0,1,0,0
250789208,0,1,0,1
250789292,0,1,0,0
250790458,0,1,0,1
250790542,0,1,0,0
250790708,0,1,0,1
250790792,0,1,0,0
250790833,0,1,0,1
250791000,0,1,0,0
250791042,0,1,0,1
250791125,0,1,0,0
250798458,0,1,0,1
250798542,0,1,0,0
250798708,0,1,0,1
250798792,0,1,0,0
250798833,0,1,0,1
250798958,0,1,0,0
250799042,0,1,0,1
250799083,0,1,0,0
