Time [s],HSYNC,VSYNC,INTENSITY,VIDEO
948158250,0,1,0,0
948158333,0,1,0,1
948158375,0,1,0,0
948158458,0,1,0,1
948158500,0,1,0,0
948158583,0,1,0,1
948158625,0,1,0,0
948158708,0,1,0,1
948158750,0,1,0,0
948158833,0,1,0,1
948158875,0,1,0,0
948158958,0,1,0,1
948159000,0,1,0,0
948159083,0,1,0,1
948159125,0,1,0,0
948159208,0,1,0,1
948159250,0,1,0,0
948159333,0,1,0,1
948159375,0,1,0,0
948159458,0,1,0,1
948159500,0,1,0,0
948159583,0,1,0,1
948159625,0,1,0,0
948159708,0,1,0,1
948159750,0,1,0,0
948159833,0,1,0,1
948159875,0,1,0,0
948159958,0,1,0,1
948160000,0,1,0,0
948160083,0,1,0,1
948160125,0,1,0,0
948160208,0,1,0,1
948160250,0,1,0,0
948160333,0,1,0,1
948160375,0,1,0,0
948160458,0,1,0,1
948160500,0,1,0,0
948160583,0,1,0,1
948160625,0,1,0,0
948160708,0,1,0,1
948160750,0,1,0,0
948160833,0,1,0,1
948160875,0,1,0,0
948160958,0,1,0,1
948161000,0,1,0,0
948161083,0,1,0,1
948161125,0,1,0,0
948161208,0,1,0,1
948161250,0,1,0,0
948161333,0,1,0,1
948161375,0,1,0,0
948161458,0,1,0,1
948161500,0,1,0,0
948161583,0,1,0,1
948161625,0,1,0,0
948161708,0,1,0,1
948161750,0,1,0,0
948161875,0,1,0,1
948162000,0,1,0,0
948162083,0,1,0,1
948162125,0,1,0,0
948162208,0,1,0,1
948162250,0,1,0,0
948162333,0,1,0,1
948162375,0,1,0,0
948162458,0,1,0,1
948162500,0,1,0,0
948162583,0,1,0,1
948162625,0,1,0,0
948162708,0,1,0,1
948162750,0,1,0,0
948162833,0,1,0,1
948162875,0,1,0,0
948162958,0,1,0,1
948163000,0,1,0,0
948163083,0,1,0,1
948163125,0,1,0,0
948163208,0,1,0,1
948163250,0,1,0,0
948163333,0,1,0,1
948163375,0,1,0,0
948163458,0,1,0,1
948163500,0,1,0,0
948163583,0,1,0,1
948163625,0,1,0,0
948163708,0,1,0,1
948163750,0,1,0,0
948163833,0,1,0,1
948163875,0,1,0,0
948163958,0,1,0,1
948164000,0,1,0,0
948164083,0,1,0,1
948164125,0,1,0,0
948164208,0,1,0,1
948164250,0,1,0,0
948164333,0,1,0,1
948164375,0,1,0,0
948164458,0,1,0,1
948164500,0,1,0,0
948164583,0,1,0,1
948164625,0,1,0,0
948164708,0,1,0,1
948164750,0,1,0,0
948164833,0,1,0,1
948164875,0,1,0,0
948164958,0,1,0,1
948165000,0,1,0,0
948165083,0,1,0,1
948165125,0,1,0,0
948165208,0,1,0,1
948165250,0,1,0,0
948165333,0,1,0,1
948165375,0,1,0,0
948165458,0,1,0,1
948165500,0,1,0,0
948165583,0,1,0,1
948165625,0,1,0,0
948165708,0,1,0,1
948165750,0,1,0,0
948165875,0,1,0,1
948166000,0,1,0,0
948166083,0,1,0,1
948166125,0,1,0,0
948166208,0,1,0,1
948166250,0,1,0,0
948166333,0,1,0,1
948166375,0,1,0,0
948166458,0,1,0,1
948166500,0,1,0,0
948166583,0,1,0,1
948166625,0,1,0,0
948166708,0,1,0,1
948166750,0,1,0,0
948166833,0,1,0,1
948166875,0,1,0,0
948166958,0,1,0,1
948167000,0,1,0,0
948167083,0,1,0,1
948167125,0,1,0,0
948167208,0,1,0,1
948167250,0,1,0,0
948167333,0,1,0,1
948167375,0,1,0,0
948167458,0,1,0,1
948167500,0,1,0,0
948167583,0,1,0,1
948167625,0,1,0,0
948167708,0,1,0,1
948167750,0,1,0,0
948167833,0,1,0,1
948167875,0,1,0,0
948167958,0,1,0,1
948168000,0,1,0,0
948168083,0,1,0,1
948168125,0,1,0,0
948168208,0,1,0,1
948168250,0,1,0,0
948168333,0,1,0,1
948168375,0,1,0,0
948168458,0,1,0,1
948168500,0,1,0,0
948168583,0,1,0,1
948168625,0,1,0,0
948168708,0,1,0,1
948168750,0,1,0,0
948168833,0,1,0,1
948168875,0,1,0,0
948168958,0,1,0,1
948169000,0,1,0,0
948169083,0,1,0,1
948169125,0,1,0,0
948169208,0,1,0,1
948169250,0,1,0,0
948169333,0,1,0,1
948169375,0,1,0,0
948169458,0,1,0,1
948169500,0,1,0,0
948169583,0,1,0,1
948169625,0,1,0,0
948169708,0,1,0,1
948169750,0,1,0,0
948169875,0,1,0,1
948170000,0,1,0,0
948170083,0,1,0,1
948170125,0,1,0,0
948170208,0,1,0,1
948170250,0,1,0,0
948170333,0,1,0,1
948170375,0,1,0,0
948170458,0,1,0,1
948170500,0,1,0,0
948170583,0,1,0,1
948170625,0,1,0,0
948170708,0,1,0,1
948170750,0,1,0,0
948170833,0,1,0,1
948170875,0,1,0,0
948170958,0,1,0,1
948171000,0,1,0,0
948171083,0,1,0,1
948171125,0,1,0,0
948171208,0,1,0,1
948171250,0,1,0,0
948171333,0,1,0,1
948171375,0,1,0,0
948171458,0,1,0,1
948171500,0,1,0,0
948171583,0,1,0,1
948171625,0,1,0,0
948171708,0,1,0,1
948171750,0,1,0,0
948171833,0,1,0,1
948171875,0,1,0,0
948171958,0,1,0,1
948172000,0,1,0,0
948172083,0,1,0,1
948172125,0,1,0,0
948172208,0,1,0,1
948172250,0,1,0,0
948172333,0,1,0,1
948172375,0,1,0,0
948172458,0,1,0,1
948172500,0,1,0,0
948172583,0,1,0,1
948172625,0,1,0,0
948172708,0,1,0,1
948172750,0,1,0,0
948172833,0,1,0,1
948172875,0,1,0,0
948172958,0,1,0,1
948173000,0,1,0,0
948173083,0,1,0,1
948173125,0,1,0,0
948173208,0,1,0,1
948173250,0,1,0,0
948173333,0,1,0,1
948173375,0,1,0,0
948173458,0,1,0,1
948173500,0,1,0,0
948173583,0,1,0,1
948173625,0,1,0,0
948173708,0,1,0,1
948173750,0,1,0,0
948173875,0,1,0,1
948174000,0,1,0,0
948174083,0,1,0,1
948174125,0,1,0,0
948174208,0,1,0,1
948174250,0,1,0,0
948174333,0,1,0,1
948174375,0,1,0,0
948174458,0,1,0,1
948174500,0,1,0,0
948174583,0,1,0,1
948174625,0,1,0,0
948174708,0,1,0,1
948174750,0,1,0,0
948174833,0,1,0,1
948174875,0,1,0,0
948174958,0,1,0,1
948175000,0,1,0,0
948175083,0,1,0,1
948175125,0,1,0,0
948175208,0,1,0,1
948175250,0,1,0,0
948175333,0,1,0,1
948175375,0,1,0,0
948175458,0,1,0,1
948175500,0,1,0,0
948175583,0,1,0,1
948175625,0,1,0,0
948175708,0,1,0,1
948175750,0,1,0,0
948175833,0,1,0,1
948175875,0,1,0,0
948175958,0,1,0,1
948176000,0,1,0,0
948176083,0,1,0,1
948176125,0,1,0,0
948176208,0,1,0,1
948176250,0,1,0,0
948176333,0,1,0,1
948176375,0,1,0,0
948176458,0,1,0,1
948176500,0,1,0,0
948176583,0,1,0,1
948176625,0,1,0,0
948176708,0,1,0,1
948176750,0,1,0,0
948176833,0,1,0,1
948176875,0,1,0,0
948176958,0,1,0,1
948177000,0,1,0,0
948177083,0,1,0,1
948177125,0,1,0,0
948177208,0,1,0,1
948177250,0,1,0,0
948177333,0,1,0,1
948177375,0,1,0,0
948177458,0,1,0,1
948177500,0,1,0,0
948177583,0,1,0,1
948177625,0,1,0,0
948177708,0,1,0,1
948177750,0,1,0,0
948177875,0,1,0,1
948178000,0,1,0,0
948178083,0,1,0,1
948178125,0,1,0,0
948178208,0,1,0,1
948178250,0,1,0,0
948178333,0,1,0,1
948178375,0,1,0,0
948178458,0,1,0,1
948178500,0,1,0,0
948178583,0,1,0,1
948178625,0,1,0,0
948178708,0,1,0,1
948178750,0,1,0,0
948178833,0,1,0,1
948178875,0,1,0,0
948178958,0,1,0,1
948179000,0,1,0,0
948179083,0,1,0,1
948179125,0,1,0,0
948179208,0,1,0,1
948179250,0,1,0,0
948179333,0,1,0,1
948179375,0,1,0,0
948179458,0,1,0,1
948179500,0,1,0,0
948179583,0,1,0,1
948179625,0,1,0,0
948179708,0,1,0,1
948179750,0,1,0,0
948179833,0,1,0,1
948179875,0,1,0,0
948179958,0,1,0,1
948180000,0,1,0,0
948180083,0,1,0,1
948180125,0,1,0,0
948180208,0,1,0,1
948180250,0,1,0,0
948180333,0,1,0,1
948180375,0,1,0,0
948180458,0,1,0,1
948180500,0,1,0,0
948180583,0,1,0,1
948180625,0,1,0,0
948180708,0,1,0,1
948180750,0,1,0,0
948180833,0,1,0,1
948180875,0,1,0,0
948180958,0,1,0,1
948181000,0,1,0,0
948181083,0,1,0,1
948181125,0,1,0,0
948181208,0,1,0,1
948181250,0,1,0,0
948181333,0,1,0,1
948181375,0,1,0,0
948181458,0,1,0,1
948181500,0,1,0,0
948181583,0,1,0,1
948181625,0,1,0,0
948181708,0,1,0,1
948181750,0,1,0,0
948181875,0,1,0,1
948182000,0,1,0,0
948182083,0,1,0,1
948182125,0,1,0,0
948182208,0,1,0,1
948182250,0,1,0,0
948182333,0,1,0,1
948182375,0,1,0,0
948182458,0,1,0,1
948182500,0,1,0,0
948182583,0,1,0,1
948182625,0,1,0,0
948182708,0,1,0,1
948182750,0,1,0,0
948182833,0,1,0,1
948182875,0,1,0,0
948182958,0,1,0,1
948183000,0,1,0,0
948183083,0,1,0,1
948183125,0,1,0,0
948183208,0,1,0,1
948183250,0,1,0,0
948183333,0,1,0,1
948183375,0,1,0,0
948183458,0,1,0,1
948183500,0,1,0,0
948183583,0,1,0,1
948183625,0,1,0,0
948183708,0,1,0,1
948183750,0,1,0,0
948183833,0,1,0,1
948183875,0,1,0,0
948183958,0,1,0,1
948184000,0,1,0,0
948184083,0,1,0,1
948184125,0,1,0,0
948184208,0,1,0,1
948184250,0,1,0,0
948184333,0,1,0,1
948184375,0,1,0,0
948184458,0,1,0,1
948184500,0,1,0,0
948184583,0,1,0,1
948184625,0,1,0,0
948184708,0,1,0,1
948184750,0,1,0,0
948184833,0,1,0,1
948184875,0,1,0,0
948184958,0,1,0,1
948185000,0,1,0,0
948185083,0,1,0,1
948185125,0,1,0,0
948185208,0,1,0,1
948185250,0,1,0,0
948185333,0,1,0,1
948185375,0,1,0,0
948185458,0,1,0,1
948185500,0,1,0,0
948185583,0,1,0,1
948185625,0,1,0,0
948185708,0,1,0,1
948185750,0,1,0,0
948185875,0,1,0,1
948186000,0,1,0,0
948186083,0,1,0,1
948186125,0,1,0,0
948186208,0,1,0,1
948186250,0,1,0,0
